elavskode,matrnr,esr_ejdnr
20151,12ak,1510027512
20151,12mf,1510027563
20151,12be,1510005055
20151,12ai,1510027490
20151,12al,1510027539
20151,12b,1510027598
20151,12ah,1510007074
20151,12bf,1510005071
20151,12mk,1510005063
20151,12bd,1510007090
20151,12bg,1510000177
20151,12mg,1510005098
20151,12bc,1510007112
20151,12bh,1510005101
20151,12bb,1510007139
20151,12bi,1510005136
20151,12lb,1510018645
20151,12ba,1510007155
20151,12bk,1510005152
20151,159a,1510030424
20151,121k,1510030416
20151,121l,1510035442
20151,121m,1510035426
20151,126,1510002110
20151,121cg,1510035418
20151,121n,1510035388
20151,121be,1510035450
20151,158b,1510002234
20151,121ci,1510035345
20151,121bk,1510035396
20151,121bu,1510035337
20151,121bl,1510035434
20151,121p,1510035302
20151,121ab,1510035353
20151,121bv,1510035310
20151,121bs,1510031145
20151,121bn,1510035361
20151,15dt,1510027814
20151,121q,1510035280
20151,121br,1510031110
20151,121cz,1510133479
20151,121aa,1510035329
20151,121r,1510035264
20151,121ø,1510035299
20151,121af,1510031099
20151,121co,1510123384
20151,121bq,1510035221
20151,121æ,1510035272
20151,121bh,1510031080
20151,121ag,1510031072
20151,3b,1510015379
20151,121b,1510002072
20151,14am,1510031986
20151,5ab,1510016693
20151,14pp,1510086683
20151,5c,1510016650
20151,14pq,1510085636
20151,14bx,1510086799
20151,125,1510016693
20151,5b,1510016693
20151,123b,1510002099
20151,123c,1510002102
20151,7000et,0
20151,3gd,1510015379
20151,8nm,1510149469
20151,8nl,1510149468
20151,8nk,1510149467
20151,8la,1510135390
20151,8kn,1510140106
20151,8ni,1510149466
20151,8nh,1510149465
20151,8fi,1510133541
20151,8ng,1510149464
20151,8gb,1510135315
20151,8fh,1510133568
20151,8nf,1510149463
20151,8ne,1510149462
20151,8fk,1510133606
20151,8fg,1510133576
20151,8nd,1510149461
20151,8fl,1510133614
20151,8ff,1510133584
20151,8nc,1510149460
20151,8nb,1510149459
20151,8fe,1510133592
20151,8fm,1510133622
20151,8fu,1510133878
20151,8na,1510149458
20151,8fn,1510133630
20151,8lb,1510135412
20151,8mø,1510149457
20151,8hm,1510136109
20151,8ft,1510133827
20151,8er,1510133800
20151,8es,1510133789
20151,15et,1510010490
20151,23aq,1510010431
20151,15ae,1510010520
20151,15ep,1510027873
20151,15dd,1510010458
20151,15v,1510010466
20151,15de,1510027903
20151,23ar,1510010415
20151,15au,1510018378
20151,23dt,1510010407
20151,15ai,1510010423
20151,15fe,1510086004
20151,15t,1510027881
20151,23bc,1510010385
20151,15i,1510010393
20151,15dz,1510027865
20151,23z,1510010369
20151,15dæ,1510027857
20151,15cp,1510027849
20151,23i,1510010342
20151,15dv,1510010377
20151,15du,1510027830
20151,15av,1510010350
20151,15da,1510027792
20151,15p,1510027822
20151,23y,1510010326
20151,23et,1510087671
20151,15db,1510027776
20151,15at,1510010334
20151,15ad,1510010318
20151,23dv,1510010296
20151,23u,1510010288
20151,15m,1510010261
